State,Zip,County,Green,Yellow,Red
FL,32044,Alachua County,Green,,
FL,32601,Alachua County,,,Red
FL,32603,Alachua County,,,Red
FL,32605,Alachua County,,Yellow,
FL,32606,Alachua County,,Yellow,
FL,32607,Alachua County,,,Red
FL,32608,Alachua County,,Yellow,
FL,32609,Alachua County,Green,,
FL,32612,Alachua County,,,Red
FL,32615,Alachua County,,,Red
FL,32618,Alachua County,Green,,
FL,32622,Alachua County,Green,,
FL,32631,Alachua County,Green,,
FL,32640,Alachua County,,,Red
FL,32641,Alachua County,Green,,
FL,32643,Alachua County,,,Red
FL,32653,Alachua County,,,Red
FL,32658,Alachua County,,,Red
FL,32666,Alachua County,,Yellow,
FL,32667,Alachua County,,Yellow,
FL,32669,Alachua County,,Yellow,
FL,32694,Alachua County,,,Red
FL,32040,Baker County,Green,,
FL,32063,Baker County,Green,,
FL,32072,Baker County,Green,,
FL,32087,Baker County,Green,,
FL,32234,Baker County,,,Red
FL,32401,Bay County,Green,,
FL,32404,Bay County,,,Red
FL,32405,Bay County,,Yellow,
FL,32407,Bay County,,Yellow,
FL,32408,Bay County,Green,,
FL,32409,Bay County,,Yellow,
FL,32410,Bay County,,Yellow,
FL,32413,Bay County,Green,,
FL,32428,Bay County,,Yellow,
FL,32437,Bay County,,Yellow,
FL,32438,Bay County,Green,,
FL,32444,Bay County,Green,,
FL,32456,Bay County,,Yellow,
FL,32466,Bay County,,Yellow,
FL,32042,Bradford County,Green,,
FL,32044,Bradford County,Green,,
FL,32054,Bradford County,Green,,
FL,32058,Bradford County,,Yellow,
FL,32091,Bradford County,,Yellow,
FL,32622,Bradford County,Green,,
FL,32656,Bradford County,,,Red
FL,32666,Bradford County,,,Red
FL,32694,Bradford County,,,Red
FL,32754,Brevard County,,Yellow,
FL,32780,Brevard County,,Yellow,
FL,32796,Brevard County,Green,,
FL,32815,Brevard County,,,Red
FL,32901,Brevard County,,,Red
FL,32903,Brevard County,,,Red
FL,32904,Brevard County,,,Red
FL,32905,Brevard County,Green,,
FL,32907,Brevard County,,Yellow,
FL,32908,Brevard County,Green,,
FL,32909,Brevard County,,Yellow,
FL,32920,Brevard County,,,Red
FL,32922,Brevard County,Green,,
FL,32925,Brevard County,,,Red
FL,32926,Brevard County,,Yellow,
FL,32927,Brevard County,Green,,
FL,32931,Brevard County,,Yellow,
FL,32934,Brevard County,,Yellow,
FL,32935,Brevard County,Green,,
FL,32937,Brevard County,,Yellow,
FL,32940,Brevard County,Green,,
FL,32948,Brevard County,,,Red
FL,32949,Brevard County,,Yellow,
FL,32950,Brevard County,Green,,
FL,32951,Brevard County,,,Red
FL,32952,Brevard County,,,Red
FL,32953,Brevard County,,Yellow,
FL,32955,Brevard County,,Yellow,
FL,32976,Brevard County,Green,,
FL,33004,Broward County,,,Red
FL,33009,Broward County,Green,,
FL,33019,Broward County,Green,,
FL,33020,Broward County,,,Red
FL,33021,Broward County,,Yellow,
FL,33023,Broward County,,Yellow,
FL,33024,Broward County,Green,,
FL,33025,Broward County,,,Red
FL,33026,Broward County,,,Red
FL,33027,Broward County,,Yellow,
FL,33028,Broward County,,,Red
FL,33029,Broward County,,,Red
FL,33060,Broward County,Green,,
FL,33062,Broward County,,,Red
FL,33063,Broward County,,Yellow,
FL,33064,Broward County,,,Red
FL,33065,Broward County,,Yellow,
FL,33066,Broward County,Green,,
FL,33067,Broward County,,Yellow,
FL,33068,Broward County,,,Red
