NC,Zip,County,Green,Yellow,Red
NC,28115,Rowan County,,Yellow,
NC,28144,Rowan County,Green,,
NC,28023,Rowan County,,,Red
NC,28146,Rowan County,,,Red
NC,28159,Rowan County,Green,,
NC,28138,Rowan County,Green,,
NC,27013,Rowan County,Green,,
NC,28071,Rowan County,,,Red
NC,28147,Rowan County,Green,,
NC,28088,Rowan County,,Yellow,
NC,27054,Rowan County,,,Red
NC,28081,Rowan County,Green,,
NC,28083,Rowan County,,,Red
NC,28137,Rowan County,,,Red
NC,28125,Rowan County,,,Red
NC,28039,Rowan County,Green,,
NC,28127,Rowan County,,Yellow,
NC,28036,Rowan County,Green,,
NC,28041,Rowan County,,,Red
NC,27262,Guilford County,,,Red
NC,27406,Guilford County,,,Red
NC,27282,Guilford County,,Yellow,
NC,27405,Guilford County,,Yellow,
NC,27409,Guilford County,,,Red
NC,27407,Guilford County,Green,,
NC,27401,Guilford County,Green,,
NC,27260,Guilford County,Green,,
NC,27265,Guilford County,,,Red
NC,27403,Guilford County,,,Red
NC,27263,Guilford County,Green,,
NC,27301,Guilford County,,,Red
NC,27313,Guilford County,,,Red
NC,27284,Guilford County,Green,,
NC,27412,Guilford County,,,Red
NC,27455,Guilford County,Green,,
NC,27249,Guilford County,,Yellow,
NC,27214,Guilford County,,,Red
NC,27310,Guilford County,,,Red
NC,27408,Guilford County,,Yellow,
NC,27235,Guilford County,,,Red
NC,27358,Guilford County,,,Red
NC,27283,Guilford County,,,Red
NC,27410,Guilford County,Green,,
NC,27377,Guilford County,Green,,
NC,27357,Guilford County,,Yellow,
NC,27298,Guilford County,,,Red
NC,27320,Guilford County,Green,,
NC,27244,Guilford County,,,Red
NC,27233,Guilford County,Green,,
NC,27215,Guilford County,Green,,
NC,27317,Guilford County,Green,,
NC,28213,Mecklenburg County,Green,,
NC,28205,Mecklenburg County,,,Red
NC,28208,Mecklenburg County,,,Red
NC,28217,Mecklenburg County,,,Red
NC,28134,Mecklenburg County,,Yellow,
NC,28210,Mecklenburg County,Green,,
NC,28227,Mecklenburg County,,Yellow,
NC,28215,Mecklenburg County,,Yellow,
NC,28216,Mecklenburg County,Green,,
NC,28269,Mecklenburg County,,Yellow,
NC,28214,Mecklenburg County,,,Red
NC,28206,Mecklenburg County,,Yellow,
NC,28277,Mecklenburg County,,,Red
NC,28212,Mecklenburg County,,Yellow,
NC,28078,Mecklenburg County,Green,,
NC,28262,Mecklenburg County,,,Red
NC,28203,Mecklenburg County,,Yellow,
NC,28031,Mecklenburg County,,,Red
NC,28105,Mecklenburg County,Green,,
NC,28211,Mecklenburg County,,,Red
NC,28209,Mecklenburg County,,Yellow,
NC,28270,Mecklenburg County,Green,,
NC,28278,Mecklenburg County,,Yellow,
NC,28036,Mecklenburg County,Green,,
NC,28207,Mecklenburg County,Green,,
NC,28226,Mecklenburg County,,,Red
NC,28273,Mecklenburg County,Green,,
NC,28204,Mecklenburg County,Green,,
NC,28202,Mecklenburg County,,,Red
NC,28107,Mecklenburg County,,Yellow,
NC,28104,Mecklenburg County,,Yellow,
NC,28126,Mecklenburg County,Green,,
NC,28079,Mecklenburg County,,,Red
NC,28284,Mecklenburg County,,Yellow,
NC,28244,Mecklenburg County,,,Red
NC,28128,Stanly County,Green,,
NC,28001,Stanly County,,Yellow,
NC,28124,Stanly County,,Yellow,
NC,28129,Stanly County,,,Red
NC,28163,Stanly County,,Yellow,
NC,28097,Stanly County,,Yellow,
NC,28127,Stanly County,,Yellow,
NC,28137,Stanly County,Green,,
NC,28071,Stanly County,Green,,
NC,28009,Stanly County,,,Red
NC,28109,Stanly County,,Yellow,
NC,28107,Stanly County,Green,,
NC,28112,Union County,,Yellow,
NC,28079,Union County,,Yellow,
NC,28103,Union County,,Yellow,
NC,28104,Union County,,,Red
NC,28110,Union County,,,Red
NC,28174,Union County,Green,,
NC,28173,Union County,,,Red
NC,28133,Union County,,Yellow,
NC,28105,Union County,Green,,
NC,28227,Union County,,,Red
NC,28107,Union County,,,Red
NC,28108,Union County,Green,,
NC,28135,Union County,Green,,
NC,28602,Catawba County,,,Red
NC,28658,Catawba County,Green,,
NC,28610,Catawba County,Green,,
NC,28609,Catawba County,,Yellow,
NC,28601,Catawba County,Green,,
NC,28613,Catawba County,Green,,
NC,28673,Catawba County,Green,,
NC,28168,Catawba County,,Yellow,
NC,28650,Catawba County,,,Red
NC,28092,Catawba County,,,Red
NC,28037,Catawba County,Green,,
NC,28682,Catawba County,Green,,
NC,28090,Catawba County,,Yellow,
NC,28612,Catawba County,,Yellow,
NC,27107,Davidson County,,,Red
NC,27292,Davidson County,Green,,
NC,27295,Davidson County,Green,,
NC,27360,Davidson County,,Yellow,
NC,27127,Davidson County,Green,,
NC,27239,Davidson County,,,Red
NC,27265,Davidson County,Green,,
NC,27012,Davidson County,,Yellow,
NC,27262,Davidson County,Green,,
NC,27299,Davidson County,,,Red
NC,28127,Davidson County,,,Red
NC,27284,Davidson County,,,Red
NC,27712,Durham County,Green,,
NC,27707,Durham County,,,Red
NC,27703,Durham County,Green,,
NC,27701,Durham County,,,Red
NC,27704,Durham County,,,Red
NC,27705,Durham County,,Yellow,
NC,27713,Durham County,,,Red
NC,27572,Durham County,,,Red
NC,27503,Durham County,,,Red
NC,27613,Durham County,Green,,
NC,27517,Durham County,Green,,
NC,27560,Durham County,,,Red
NC,27278,Durham County,,,Red
NC,27709,Durham County,Green,,
NC,27617,Durham County,,,Red
NC,27516,Durham County,,Yellow,
NC,27583,Durham County,Green,,
NC,27711,Durham County,,Yellow,
NC,27105,Forsyth County,,Yellow,
NC,27107,Forsyth County,,,Red
NC,27050,Forsyth County,,,Red
NC,27104,Forsyth County,,,Red
NC,27284,Forsyth County,,,Red
NC,27127,Forsyth County,Green,,
NC,27051,Forsyth County,,Yellow,
NC,27012,Forsyth County,,Yellow,
NC,27101,Forsyth County,,,Red
NC,27103,Forsyth County,Green,,
NC,27052,Forsyth County,Green,,
NC,27009,Forsyth County,,Yellow,
NC,27040,Forsyth County,Green,,
NC,27019,Forsyth County,Green,,
NC,27106,Forsyth County,Green,,
NC,27045,Forsyth County,,Yellow,
NC,27023,Forsyth County,,,Red
NC,27265,Forsyth County,Green,,
NC,27021,Forsyth County,,Yellow,
NC,27357,Forsyth County,,Yellow,
NC,27235,Forsyth County,Green,,
NC,27010,Forsyth County,Green,,
NC,27110,Forsyth County,,,Red
NC,27109,Forsyth County,Green,,
NC,27157,Forsyth County,Green,,
NC,27205,Randolph County,,Yellow,
NC,27316,Randolph County,,Yellow,
NC,27263,Randolph County,Green,,
NC,27370,Randolph County,,Yellow,
NC,27203,Randolph County,Green,,
NC,27317,Randolph County,Green,,
NC,27233,Randolph County,Green,,
NC,27360,Randolph County,,,Red
NC,27341,Randolph County,Green,,
NC,27298,Randolph County,,Yellow,
NC,27239,Randolph County,Green,,
NC,27350,Randolph County,Green,,
NC,27248,Randolph County,Green,,
NC,27355,Randolph County,,Yellow,
NC,27344,Randolph County,Green,,
NC,27260,Randolph County,Green,,
NC,27313,Randolph County,,Yellow,
NC,27283,Randolph County,,Yellow,
NC,27208,Randolph County,,Yellow,
NC,27371,Randolph County,Green,,
NC,27325,Randolph County,,Yellow,
NC,27292,Randolph County,,Yellow,
NC,28127,Randolph County,Green,,
NC,28721,Haywood County,,,Red
NC,28786,Haywood County,Green,,
NC,28785,Haywood County,,Yellow,
NC,28716,Haywood County,,Yellow,
NC,28751,Haywood County,,,Red
NC,28745,Haywood County,,,Red
NC,28743,Haywood County,,Yellow,
NC,28715,Haywood County,,,Red
NC,28748,Buncombe County,,Yellow,
NC,28805,Buncombe County,,Yellow,
NC,28804,Buncombe County,,,Red
NC,28715,Buncombe County,,Yellow,
NC,28787,Buncombe County,,Yellow,
NC,28806,Buncombe County,Green,,
NC,28732,Buncombe County,,,Red
NC,28778,Buncombe County,,Yellow,
NC,28730,Buncombe County,,Yellow,
NC,28711,Buncombe County,,,Red
NC,28704,Buncombe County,Green,,
NC,28803,Buncombe County,Green,,
NC,28701,Buncombe County,Green,,
NC,28709,Buncombe County,,Yellow,
NC,28801,Buncombe County,,,Red
NC,28753,Buncombe County,,,Red
NC,28721,Buncombe County,,Yellow,
NC,28792,Buncombe County,,,Red
NC,28716,Buncombe County,Green,,
NC,28759,Buncombe County,,,Red
NC,28762,Buncombe County,,,Red
NC,28391,Cumberland County,,,Red
NC,28314,Cumberland County,Green,,
NC,28306,Cumberland County,,Yellow,
NC,28301,Cumberland County,,,Red
NC,28305,Cumberland County,Green,,
NC,28348,Cumberland County,,Yellow,
NC,28371,Cumberland County,Green,,
NC,28356,Cumberland County,Green,,
NC,28312,Cumberland County,,Yellow,
NC,28303,Cumberland County,,Yellow,
NC,28304,Cumberland County,,,Red
NC,28311,Cumberland County,Green,,
NC,28390,Cumberland County,,Yellow,
NC,28318,Cumberland County,,Yellow,
NC,28344,Cumberland County,Green,,
NC,28395,Cumberland County,Green,,
NC,28384,Cumberland County,,Yellow,
NC,28334,Cumberland County,,,Red
NC,28382,Cumberland County,,,Red
NC,28342,Cumberland County,,Yellow,
NC,28310,Cumberland County,,,Red
NC,28307,Cumberland County,,,Red
NC,28441,Cumberland County,,Yellow,
NC,28399,Cumberland County,,Yellow,
NC,28090,Cleveland County,,,Red
NC,28150,Cleveland County,,,Red
NC,28073,Cleveland County,,Yellow,
NC,28152,Cleveland County,Green,,
NC,28017,Cleveland County,Green,,
NC,28086,Cleveland County,Green,,
NC,28114,Cleveland County,,,Red
NC,28020,Cleveland County,Green,,
NC,28038,Cleveland County,Green,,
NC,28021,Cleveland County,,,Red
NC,28136,Cleveland County,,Yellow,
