State,Zip,County,Green,Yellow,Red,Parcels,Zip_STR_6mo,Zip_STR_12mo,County_STR_6mo,County_STR_12mo,County_Parcels
NC,28115,Rowan County,,,Red,211,80,86,,,
NC,28144,Rowan County,,,Red,138,75,86,,,
NC,28023,Rowan County,,,Red,521,75,88,,,
NC,28146,Rowan County,,,Red,1119,75,83,,,
NC,28138,Rowan County,,,Red,297,100,100,,,
NC,27013,Rowan County,,,Red,416,45,57,,,
NC,28071,Rowan County,,,Red,328,100,100,,,
NC,28147,Rowan County,,,Red,450,80,88,,,
NC,28088,Rowan County,,,Red,11,0,0,,,
NC,27054,Rowan County,,,Red,314,40,62,,,
NC,28081,Rowan County,,,Red,218,100,100,,,
NC,28083,Rowan County,,,Red,33,100,100,,,
NC,28137,Rowan County,,,Red,158,29,38,,,
NC,28125,Rowan County,,,Red,263,100,100,,,
NC,28127,Rowan County,,,Red,4,0,0,,,
NC,27262,Guilford County,,,Red,136,100,100,,,
NC,27406,Guilford County,,,Red,150,67,75,,,
NC,27282,Guilford County,,,Red,37,0,0,,,
NC,27405,Guilford County,,Yellow,,122,0,100,,,
NC,27409,Guilford County,,,Red,45,0,100,,,
NC,27407,Guilford County,,,Red,82,100,100,,,
NC,27401,Guilford County,,Yellow,,118,0,67,,,
NC,27260,Guilford County,Green,,,298,89,94,,,
NC,27265,Guilford County,Green,,,78,100,100,,,
NC,27403,Guilford County,Green,,,58,0,100,,,
NC,27263,Guilford County,Green,,,49,100,100,,,
NC,27301,Guilford County,,Yellow,,33,100,100,,,
NC,27313,Guilford County,,Yellow,,7,0,0,,,
NC,27284,Guilford County,,,Red,4,0,0,,,
NC,27412,Guilford County,,,Red,4,0,0,,,
NC,27455,Guilford County,,,Red,46,100,100,,,
NC,27249,Guilford County,Green,,,84,100,100,,,
NC,27214,Guilford County,Green,,,44,0,50,,,
NC,27310,Guilford County,,,Red,15,0,0,,,
NC,27408,Guilford County,,Yellow,,29,0,0,,,
NC,27235,Guilford County,,Yellow,,18,100,100,,,
NC,27358,Guilford County,Green,,,43,0,0,,,
NC,27283,Guilford County,,,Red,10,0,0,,,
NC,27410,Guilford County,,,Red,78,0,0,,,
NC,27377,Guilford County,,,Red,64,100,100,,,
NC,27357,Guilford County,,Yellow,,75,100,100,,,
NC,27298,Guilford County,,Yellow,,27,0,0,,,
NC,27244,Guilford County,,,Red,4,0,0,,,
NC,27233,Guilford County,,Yellow,,9,0,0,,,
NC,27215,Guilford County,,Yellow,,17,0,0,,,
NC,27317,Guilford County,,,Red,1,0,0,,,
