State,County,Parcels,STR_6mo,STR_12mo
OH,Adams County,3011,54,78
OH,Allen County,6495,100,100
OH,Ashland County,4582,89,95
OH,Ashtabula County,17181,88,96
OH,Athens County,10522,98,99
OH,Auglaize County,3414,100,100
OH,Belmont County,15873,96,98
OH,Brown County,9552,68,90
OH,Butler County,13541,87,95
OH,Carroll County,7640,86,94
OH,Champaign County,6072,81,93
OH,Clark County,6673,81,92
OH,Clermont County,12368,80,93
OH,Clinton County,5456,74,88
OH,Columbiana County,17093,92,97
OH,Coshocton County,4706,94,98
OH,Crawford County,7879,95,98
OH,Cuyahoga County,16829,94,98
OH,Darke County,3506,81,90
OH,Defiance County,5799,100,100
OH,Delaware County,7641,86,95
OH,Erie County,5937,100,100
OH,Fairfield County,8229,60,82
OH,Fayette County,3376,88,94
OH,Franklin County,11274,79,91
OH,Fulton County,3898,100,100
OH,Gallia County,7983,92,97
OH,Geauga County,9042,92,97
OH,Greene County,10096,90,96
OH,Guernsey County,12758,90,95
OH,Hamilton County,26673,91,97
OH,Hancock County,5646,100,100
OH,Hardin County,4783,97,99
OH,Harrison County,5054,91,96
OH,Henry County,4621,100,100
OH,Highland County,7097,90,96
OH,Hocking County,4037,47,81
OH,Holmes County,8036,94,97
OH,Huron County,10070,99,100
OH,Jackson County,7180,98,99
OH,Jefferson County,12692,86,94
OH,Knox County,10177,81,91
OH,Lake County,7357,97,99
OH,Lawrence County,14388,100,100
OH,Licking County,5496,68,87
OH,Logan County,5341,83,94
OH,Lorain County,24494,93,98
OH,Lucas County,15849,100,100
OH,Madison County,3809,94,97
OH,Mahoning County,39164,91,97
OH,Marion County,6455,78,89
OH,Medina County,6347,97,99
OH,Meigs County,8428,97,99
OH,Mercer County,4442,97,98
OH,Miami County,3129,91,95
OH,Monroe County,4531,64,83
OH,Montgomery County,20611,79,91
OH,Morgan County,6380,88,95
OH,Morrow County,3595,13,17
OH,Muskingum County,11249,82,93
OH,Noble County,5820,83,95
OH,Ottawa County,6036,92,97
OH,Paulding County,2536,100,100
OH,Perry County,6911,68,87
OH,Pickaway County,4204,94,97
OH,Pike County,5885,84,93
OH,Portage County,12284,91,96
OH,Preble County,3974,85,93
OH,Putnam County,9341,100,100
OH,Richland County,14683,95,98
OH,Ross County,7159,91,97
OH,Sandusky County,4671,100,100
OH,Scioto County,14730,98,99
OH,Seneca County,3870,97,98
OH,Shelby County,6955,100,100
OH,Stark County,24030,94,98
OH,Summit County,24120,94,98
OH,Trumbull County,32622,93,98
OH,Tuscarawas County,11561,94,97
OH,Union County,5757,92,96
OH,Van Wert County,4436,100,100
OH,Vinton County,3184,88,94
OH,Warren County,5399,59,83
OH,Washington County,17962,95,98
OH,Wayne County,8735,95,98
OH,Williams County,5588,100,100
OH,Wood County,5254,100,100
OH,Wyandot County,5731,98,99
