State,Zip,County,Green,Yellow,Red,Parcels,Zip_STR_6mo,Zip_STR_12mo,County_STR_6mo,County_STR_12mo,County_Parcels
OH,45101,Adams County,,,Red,2,0,0,54,78,3011
OH,45144,Adams County,Green,,,485,0,67,54,78,3011
OH,45616,Adams County,,,Red,156,100,100,54,78,3011
OH,45650,Adams County,Green,,,70,0,0,54,78,3011
OH,45657,Adams County,Green,,,45,0,0,54,78,3011
OH,45660,Adams County,Green,,,730,50,72,54,78,3011
OH,45679,Adams County,,Yellow,,255,71,80,54,78,3011
OH,45684,Adams County,,Yellow,,103,100,100,54,78,3011
OH,45693,Adams County,Green,,,894,54,73,54,78,3011
OH,45697,Adams County,Green,,,264,0,93,54,78,3011
OH,45801,Allen County,Green,,,1118,100,100,100,100,6495
OH,45802,Allen County,,,Red,12,0,0,100,100,6495
OH,45804,Allen County,Green,,,1749,100,100,100,100,6495
OH,45805,Allen County,Green,,,518,100,100,100,100,6495
OH,45806,Allen County,Green,,,480,100,100,100,100,6495
OH,45807,Allen County,Green,,,755,100,100,100,100,6495
OH,45808,Allen County,Green,,,23,0,0,100,100,6495
OH,45809,Allen County,,,Red,11,0,0,100,100,6495
OH,45810,Allen County,,,Red,33,0,100,100,100,6495
OH,45812,Allen County,,,Red,8,0,0,100,100,6495
OH,45817,Allen County,,Yellow,,293,100,100,100,100,6495
OH,45820,Allen County,,,Red,42,0,100,100,100,6495
OH,45830,Allen County,,,Red,239,100,100,100,100,6495
OH,45833,Allen County,Green,,,427,100,100,100,100,6495
OH,45844,Allen County,,,Red,37,0,0,100,100,6495
OH,45850,Allen County,Green,,,349,100,100,100,100,6495
OH,45854,Allen County,,,Red,42,0,100,100,100,6495
OH,45877,Allen County,,,Red,11,100,100,100,100,6495
OH,45887,Allen County,,,Red,318,100,100,100,100,6495
OH,45894,Allen County,,,Red,1,0,0,100,100,6495
OH,45895,Allen County,,,Red,3,0,0,100,100,6495
OH,45896,Allen County,,,Red,26,0,0,100,100,6495
OH,44287,Ashland County,,,Red,901,69,83,89,95,4582
OH,44638,Ashland County,,,Red,13,0,0,89,95,4582
OH,44691,Ashland County,,,Red,4,0,0,89,95,4582
OH,44805,Ashland County,Green,,,2054,100,100,89,95,4582
OH,44837,Ashland County,Green,,,39,100,100,89,95,4582
OH,44838,Ashland County,Green,,,43,0,0,89,95,4582
OH,44840,Ashland County,Green,,,294,100,100,89,95,4582
OH,44842,Ashland County,,,Red,420,100,100,89,95,4582
OH,44843,Ashland County,,,Red,13,0,0,89,95,4582
OH,44851,Ashland County,,,Red,26,0,100,89,95,4582
OH,44859,Ashland County,,,Red,124,100,100,89,95,4582
OH,44864,Ashland County,,Yellow,,274,100,100,89,95,4582
OH,44866,Ashland County,Green,,,150,100,100,89,95,4582
OH,44874,Ashland County,,Yellow,,31,0,0,89,95,4582
OH,44878,Ashland County,,,Red,2,0,0,89,95,4582
OH,44880,Ashland County,,Yellow,,172,0,62,89,95,4582
OH,44903,Ashland County,,,Red,11,100,100,89,95,4582
OH,44003,Ashtabula County,,Yellow,,2027,90,99,88,96,17181
OH,44004,Ashtabula County,Green,,,4464,91,96,88,96,17181
OH,44010,Ashtabula County,,,Red,243,0,100,88,96,17181
OH,44030,Ashtabula County,Green,,,2959,86,96,88,96,17181
OH,44032,Ashtabula County,Green,,,615,50,82,88,96,17181
OH,44041,Ashtabula County,Green,,,1989,94,98,88,96,17181
OH,44047,Ashtabula County,Green,,,1155,94,98,88,96,17181
OH,44048,Ashtabula County,Green,,,271,50,86,88,96,17181
OH,44057,Ashtabula County,Green,,,70,0,100,88,96,17181
OH,44062,Ashtabula County,,,Red,31,100,100,88,96,17181
OH,44064,Ashtabula County,,,Red,8,0,0,88,96,17181
OH,44068,Ashtabula County,Green,,,4,0,0,88,96,17181
OH,44076,Ashtabula County,Green,,,586,75,93,88,96,17181
OH,44082,Ashtabula County,Green,,,291,0,0,88,96,17181
OH,44084,Ashtabula County,,,Red,938,86,95,88,96,17181
OH,44085,Ashtabula County,,Yellow,,653,100,100,88,96,17181
OH,44086,Ashtabula County,,,Red,5,0,0,88,96,17181
OH,44093,Ashtabula County,,Yellow,,653,75,89,88,96,17181
OH,44099,Ashtabula County,,Yellow,,122,80,86,88,96,17181
OH,44428,Ashtabula County,,,Red,24,0,0,88,96,17181
OH,43144,Athens County,,,Red,16,0,0,98,99,10522
OH,43728,Athens County,,,Red,9,0,100,98,99,10522
OH,45701,Athens County,,,Red,3524,100,100,98,99,10522
OH,45710,Athens County,Green,,,562,88,92,98,99,10522
OH,45711,Athens County,,,Red,340,100,100,98,99,10522
OH,45716,Athens County,,,Red,163,100,100,98,99,10522
OH,45719,Athens County,,,Red,64,0,0,98,99,10522
OH,45723,Athens County,Green,,,741,100,100,98,99,10522
OH,45724,Athens County,,,Red,3,0,0,98,99,10522
OH,45732,Athens County,,Yellow,,1386,92,97,98,99,10522
OH,45735,Athens County,,Yellow,,339,0,100,98,99,10522
OH,45739,Athens County,,,Red,13,0,0,98,99,10522
OH,45740,Athens County,Green,,,84,0,100,98,99,10522
OH,45742,Athens County,,,Red,27,0,0,98,99,10522
OH,45761,Athens County,Green,,,425,100,100,98,99,10522
OH,45764,Athens County,Green,,,1536,100,100,98,99,10522
OH,45766,Athens County,Green,,,374,100,100,98,99,10522
OH,45776,Athens County,,,Red,71,0,0,98,99,10522
