State,Zip,County,Green,Yellow,Red
SC,29620,Abbeville County,,,Red
SC,29627,Abbeville County,,,Red
SC,29628,Abbeville County,,Yellow,
SC,29638,Abbeville County,,,Red
SC,29639,Abbeville County,,,Red
SC,29646,Abbeville County,,,Red
SC,29649,Abbeville County,,,Red
SC,29653,Abbeville County,,,Red
SC,29654,Abbeville County,,,Red
SC,29655,Abbeville County,,,Red
SC,29692,Abbeville County,,,Red
SC,29819,Abbeville County,,,Red
SC,29137,Aiken County,,,Red
SC,29801,Aiken County,,,Red
SC,29803,Aiken County,,,Red
SC,29805,Aiken County,,,Red
SC,29829,Aiken County,,,Red
SC,29842,Aiken County,,,Red
SC,29860,Aiken County,,,Red
SC,29810,Allendale County,Green,,
SC,29812,Allendale County,,,Red
SC,29827,Allendale County,Green,,
SC,29836,Allendale County,,,Red
SC,29846,Allendale County,,,Red
SC,29849,Allendale County,,,Red
SC,29611,Anderson County,,,Red
SC,29621,Anderson County,Green,,
SC,29624,Anderson County,,Yellow,
SC,29625,Anderson County,,,Red
SC,29626,Anderson County,Green,,
SC,29627,Anderson County,Green,,
SC,29630,Anderson County,,,Red
SC,29631,Anderson County,,,Red
SC,29642,Anderson County,,,Red
SC,29643,Anderson County,Green,,
SC,29654,Anderson County,Green,,
SC,29655,Anderson County,,,Red
SC,29656,Anderson County,,,Red
SC,29657,Anderson County,,,Red
SC,29669,Anderson County,,,Red
SC,29670,Anderson County,Green,,
SC,29673,Anderson County,Green,,
SC,29684,Anderson County,,,Red
SC,29689,Anderson County,Green,,
SC,29697,Anderson County,,,Red
SC,29003,Bamberg County,,,Red
SC,29812,Barnwell County,,Yellow,
SC,29817,Barnwell County,,,Red
SC,29826,Barnwell County,,,Red
SC,29836,Barnwell County,,,Red
SC,29843,Barnwell County,,,Red
SC,29849,Barnwell County,,,Red
SC,29853,Barnwell County,Green,,
SC,29902,Beaufort County,,Yellow,
SC,29905,Beaufort County,,,Red
SC,29906,Beaufort County,Green,,
SC,29907,Beaufort County,,Yellow,
SC,29909,Beaufort County,,,Red
SC,29910,Beaufort County,,Yellow,
SC,29915,Beaufort County,Green,,
SC,29920,Beaufort County,Green,,
SC,29926,Beaufort County,,Yellow,
SC,29927,Beaufort County,,,Red
SC,29928,Beaufort County,,,Red
SC,29935,Beaufort County,Green,,
SC,29940,Beaufort County,,,Red
SC,29941,Beaufort County,,,Red
SC,29945,Beaufort County,,,Red
SC,29059,Berkeley County,,,Red
SC,29406,Berkeley County,,,Red
SC,29410,Berkeley County,Green,,
SC,29431,Berkeley County,,Yellow,
SC,29434,Berkeley County,,Yellow,
SC,29436,Berkeley County,,,Red
SC,29445,Berkeley County,Green,,
SC,29450,Berkeley County,Green,,
SC,29453,Berkeley County,,,Red
SC,29456,Berkeley County,,,Red
SC,29461,Berkeley County,,Yellow,
SC,29468,Berkeley County,,,Red
SC,29469,Berkeley County,,,Red
SC,29472,Berkeley County,Green,,
SC,29479,Berkeley County,,,Red
SC,29483,Berkeley County,Green,,
SC,29485,Berkeley County,,,Red
SC,29486,Berkeley County,Green,,
SC,29492,Berkeley County,Green,,
SC,29030,Calhoun County,,,Red
SC,29047,Calhoun County,,,Red
SC,29053,Calhoun County,,,Red
SC,29112,Calhoun County,,,Red
SC,29118,Calhoun County,,,Red
