State,County,Parcels,STR_6mo,STR_12mo
TN,Anderson County,227,100,100
TN,Bedford County,733,38,76
TN,Benton County,404,86,90
TN,Bledsoe County,729,83,92
TN,Blount County,347,100,100
TN,Bradley County,505,64,83
TN,Campbell County,452,100,100
TN,Cannon County,436,75,93
TN,Carroll County,1514,93,97
TN,Carter County,351,100,100
TN,Cheatham County,335,67,92
TN,Chester County,646,100,100
TN,Claiborne County,583,100,100
TN,Clay County,429,100,100
TN,Cocke County,587,88,95
TN,Coffee County,809,42,68
TN,Crockett County,1489,100,100
TN,Cumberland County,994,94,97
TN,Davidson County,15038,80,92
TN,Decatur County,675,75,90
TN,Dekalb County,481,88,95
TN,Dickson County,721,80,90
TN,Dyer County,1680,100,100
TN,Fayette County,1511,94,97
TN,Fentress County,802,100,100
TN,Franklin County,618,57,77
TN,Gibson County,2675,100,100
TN,Giles County,953,83,92
TN,Grainger County,507,100,100
TN,Greene County,1009,100,100
TN,Grundy County,420,80,93
TN,Hamblen County,214,100,100
TN,Hamilton County,9259,60,74
TN,Hancock County,548,100,100
TN,Hardeman County,946,100,100
TN,Hardin County,921,100,100
TN,Hawkins County,725,100,100
TN,Haywood County,1446,100,100
TN,Henderson County,1096,90,96
TN,Henry County,1275,100,100
TN,Hickman County,485,90,95
TN,Houston County,317,50,71
TN,Humphreys County,597,38,65
TN,Jackson County,470,36,55
TN,Jefferson County,490,100,100
TN,Johnson County,582,100,100
TN,Knox County,12847,98,99
TN,Lake County,468,100,100
TN,Lauderdale County,1222,100,100
TN,Lawrence County,1194,82,91
TN,Lewis County,273,100,100
TN,Lincoln County,1004,72,88
TN,Loudon County,284,100,100
TN,Macon County,651,70,86
TN,Madison County,1644,82,95
TN,Marion County,604,88,94
TN,Marshall County,540,73,89
TN,Maury County,827,57,76
TN,Mcminn County,740,73,85
TN,Mcnairy County,1048,100,100
TN,Meigs County,371,67,92
TN,Monroe County,691,80,90
TN,Montgomery County,885,61,76
TN,Moore County,160,25,62
TN,Morgan County,742,100,100
TN,Obion County,1688,100,100
TN,Overton County,859,86,95
TN,Perry County,522,50,78
TN,Pickett County,315,50,91
TN,Polk County,353,83,94
TN,Putnam County,783,75,90
TN,Rhea County,345,100,100
TN,Roane County,339,100,100
TN,Robertson County,823,71,87
TN,Rutherford County,1067,67,79
TN,Scott County,611,100,100
TN,Sequatchie County,227,67,82
TN,Sevier County,733,100,100
TN,Shelby County,27468,94,98
TN,Smith County,532,75,90
TN,Stewart County,404,89,91
TN,Sullivan County,547,100,100
TN,Sumner County,1008,60,76
TN,Tipton County,1655,92,97
TN,Trousdale County,182,100,100
TN,Unicoi County,104,100,100
TN,Union County,385,100,100
TN,Van Buren County,361,80,94
TN,Warren County,897,100,100
TN,Washington County,525,100,100
TN,Wayne County,1099,75,91
TN,Weakley County,2130,100,100
TN,White County,605,89,91
TN,Williamson County,787,80,85
TN,Wilson County,803,65,81
