State,Zip,County,Green,Yellow,Red,Parcels,Zip_STR_6mo,Zip_STR_12mo,County_STR_6mo,County_STR_12mo,County_Parcels
TN,37705,Anderson County,,,Red,28,0,0,100,100,227
TN,37710,Anderson County,,,Red,25,0,0,100,100,227
TN,37716,Anderson County,,,Red,77,100,100,100,100,227
TN,37754,Anderson County,,,Red,30,0,0,100,100,227
TN,37769,Anderson County,,,Red,16,0,0,100,100,227
TN,37830,Anderson County,,,Red,4,0,0,100,100,227
TN,37840,Anderson County,,,Red,27,0,100,100,100,227
TN,37849,Anderson County,,,Red,13,0,0,100,100,227
TN,37931,Anderson County,,,Red,4,0,0,100,100,227
TN,37938,Anderson County,,,Red,2,0,0,100,100,227
TN,37018,Bedford County,,,Red,7,0,0,38,76,733
TN,37020,Bedford County,,,Red,95,0,100,38,76,733
TN,37034,Bedford County,,,Red,43,0,100,38,76,733
TN,37060,Bedford County,,,Red,13,0,0,38,76,733
TN,37091,Bedford County,,,Red,27,0,100,38,76,733
TN,37144,Bedford County,,,Red,11,0,0,38,76,733
TN,37153,Bedford County,,,Red,16,0,0,38,76,733
TN,37160,Bedford County,,,Red,315,100,100,38,76,733
TN,37180,Bedford County,,,Red,58,0,0,38,76,733
TN,37183,Bedford County,,,Red,103,20,50,38,76,733
TN,37334,Bedford County,,,Red,2,0,0,38,76,733
TN,37360,Bedford County,,,Red,32,0,0,38,76,733
TN,37388,Bedford County,,,Red,8,0,0,38,76,733
TN,38221,Benton County,,,Red,116,100,100,86,90,404
TN,38317,Benton County,,,Red,1,0,0,86,90,404
TN,38320,Benton County,,,Red,185,67,75,86,90,404
TN,38333,Benton County,,,Red,7,0,0,86,90,404
TN,38341,Benton County,,,Red,86,100,100,86,90,404
TN,38380,Benton County,,,Red,6,100,100,86,90,404
TN,38387,Benton County,,,Red,3,0,0,86,90,404
TN,37321,Bledsoe County,,,Red,12,0,100,83,92,729
TN,37327,Bledsoe County,,,Red,79,100,100,83,92,729
TN,37332,Bledsoe County,,,Red,10,0,0,83,92,729
TN,37337,Bledsoe County,,,Red,10,0,0,83,92,729
TN,37338,Bledsoe County,,,Red,101,86,92,83,92,729
TN,37367,Bledsoe County,,,Red,406,71,88,83,92,729
TN,37379,Bledsoe County,,,Red,13,100,100,83,92,729
TN,37381,Bledsoe County,,,Red,56,100,100,83,92,729
TN,38572,Bledsoe County,,,Red,34,0,100,83,92,729
TN,37701,Blount County,,,Red,9,0,0,100,100,347
TN,37737,Blount County,,,Red,24,100,100,100,100,347
TN,37742,Blount County,,,Red,19,0,0,100,100,347
TN,37777,Blount County,,,Red,27,0,0,100,100,347
TN,37801,Blount County,,,Red,67,0,100,100,100,347
TN,37803,Blount County,,,Red,54,100,100,100,100,347
TN,37804,Blount County,,,Red,34,100,100,100,100,347
TN,37853,Blount County,,,Red,15,0,0,100,100,347
TN,37865,Blount County,,,Red,32,0,0,100,100,347
TN,37878,Blount County,,,Red,13,0,0,100,100,347
TN,37882,Blount County,,,Red,30,0,0,100,100,347
TN,37886,Blount County,,,Red,22,0,0,100,100,347
TN,37310,Bradley County,,,Red,60,0,100,64,83,505
TN,37311,Bradley County,,,Red,64,0,100,64,83,505
TN,37312,Bradley County,,,Red,69,80,83,64,83,505
TN,37323,Bradley County,,,Red,210,33,78,64,83,505
TN,37336,Bradley County,,,Red,21,100,100,64,83,505
TN,37353,Bradley County,,,Red,44,100,100,64,83,505
TN,37362,Bradley County,,,Red,33,0,50,64,83,505
TN,37714,Campbell County,,,Red,24,100,100,100,100,452
TN,37715,Campbell County,,,Red,9,0,0,100,100,452
TN,37729,Campbell County,,,Red,51,100,100,100,100,452
TN,37756,Campbell County,,,Red,5,0,0,100,100,452
TN,37757,Campbell County,,,Red,29,100,100,100,100,452
TN,37762,Campbell County,,,Red,21,0,100,100,100,452
TN,37766,Campbell County,,,Red,173,100,100,100,100,452
TN,37769,Campbell County,,,Red,3,0,0,100,100,452
TN,37819,Campbell County,,,Red,26,0,0,100,100,452
TN,37847,Campbell County,,,Red,94,0,100,100,100,452
TN,37870,Campbell County,,,Red,16,0,100,100,100,452
TN,37016,Cannon County,,,Red,25,0,0,75,93,436
TN,37026,Cannon County,,,Red,70,0,0,75,93,436
TN,37095,Cannon County,,,Red,19,0,0,75,93,436
TN,37110,Cannon County,,,Red,10,0,0,75,93,436
TN,37118,Cannon County,,,Red,6,0,0,75,93,436
TN,37149,Cannon County,,,Red,39,0,100,75,93,436
TN,37166,Cannon County,,,Red,10,0,100,75,93,436
TN,37190,Cannon County,,,Red,213,100,100,75,93,436
TN,37357,Cannon County,,,Red,44,0,100,75,93,436
TN,38201,Carroll County,,,Red,252,100,100,93,97,1514
TN,38220,Carroll County,,,Red,102,0,0,93,97,1514
TN,38231,Carroll County,,,Red,4,0,0,93,97,1514
TN,38258,Carroll County,,,Red,111,0,100,93,97,1514
TN,38305,Carroll County,,,Red,10,0,0,93,97,1514
TN,38317,Carroll County,,,Red,60,100,100,93,97,1514
TN,38318,Carroll County,,,Red,78,0,100,93,97,1514
TN,38321,Carroll County,,,Red,139,100,100,93,97,1514
TN,38341,Carroll County,,,Red,1,0,0,93,97,1514
TN,38342,Carroll County,,,Red,85,100,100,93,97,1514
TN,38344,Carroll County,,,Red,427,89,92,93,97,1514
TN,38348,Carroll County,,,Red,103,100,100,93,97,1514
TN,38358,Carroll County,,,Red,1,0,0,93,97,1514
TN,38387,Carroll County,,,Red,38,0,0,93,97,1514
TN,38390,Carroll County,,,Red,75,100,100,93,97,1514
TN,37601,Carter County,,,Red,31,100,100,100,100,351
TN,37604,Carter County,,,Red,6,0,0,100,100,351
TN,37618,Carter County,,,Red,2,0,0,100,100,351
TN,37640,Carter County,,,Red,46,0,0,100,100,351
TN,37643,Carter County,,,Red,105,0,100,100,100,351
TN,37658,Carter County,,,Red,49,0,100,100,100,351
TN,37687,Carter County,,,Red,91,0,100,100,100,351
TN,37694,Carter County,,,Red,19,100,100,100,100,351
TN,37015,Cheatham County,,,Red,144,0,83,67,92,335
TN,37032,Cheatham County,,,Red,1,0,0,67,92,335
TN,37035,Cheatham County,,,Red,43,0,100,67,92,335
TN,37036,Cheatham County,,,Red,24,100,100,67,92,335
TN,37043,Cheatham County,,,Red,2,0,0,67,92,335
TN,37080,Cheatham County,,,Red,28,0,100,67,92,335
TN,37082,Cheatham County,,,Red,43,100,100,67,92,335
TN,37143,Cheatham County,,,Red,15,0,0,67,92,335
TN,37146,Cheatham County,,,Red,15,0,0,67,92,335
TN,37187,Cheatham County,,,Red,16,0,0,67,92,335
TN,38044,Chester County,,,Red,8,0,0,100,100,646
TN,38313,Chester County,,,Red,26,100,100,100,100,646
TN,38315,Chester County,,,Red,32,100,100,100,100,646
TN,38332,Chester County,,,Red,92,100,100,100,100,646
TN,38334,Chester County,,,Red,35,0,0,100,100,646
TN,38340,Chester County,,,Red,329,100,100,100,100,646
TN,38347,Chester County,,,Red,13,0,0,100,100,646
TN,38352,Chester County,,,Red,51,100,100,100,100,646
TN,38356,Chester County,,,Red,9,0,0,100,100,646
TN,38359,Chester County,,,Red,1,0,0,100,100,646
TN,38366,Chester County,,,Red,25,0,100,100,100,646
TN,38368,Chester County,,,Red,21,0,0,100,100,646
TN,37715,Claiborne County,,,Red,32,0,0,100,100,583
TN,37724,Claiborne County,,,Red,25,100,100,100,100,583
TN,37752,Claiborne County,,,Red,63,0,0,100,100,583
TN,37825,Claiborne County,,,Red,127,100,100,100,100,583
TN,37869,Claiborne County,,,Red,10,0,0,100,100,583
TN,37870,Claiborne County,,,Red,105,0,0,100,100,583
TN,37879,Claiborne County,,,Red,219,100,100,100,100,583
TN,37150,Clay County,,,Red,81,100,100,100,100,429
TN,38541,Clay County,,,Red,42,100,100,100,100,429
TN,38551,Clay County,,,Red,163,100,100,100,100,429
TN,38562,Clay County,,,Red,2,0,0,100,100,429
TN,38568,Clay County,,,Red,51,100,100,100,100,429
TN,38573,Clay County,,,Red,4,0,0,100,100,429
